case,chiplets,canvas_side_mm,target_ratio,best_seed,rlplanner_cost,avg_wirelength,temperature,canvas_utilization,silicon_canvas_utilization,total_success_rate,termination_reason,thermal_tables_seconds,rl_solve_seconds,wall_seconds,checkpoint,layout_json
cpu-dram,8,35.9944,0.5,3,61.756718883073034,13.336612658484379,99.77760256350496,0.5000000004364248,0.46561438756294116,0.3341321044546851,time_limit,55.84947810001904,3514.757240900013,3572.997491209011,/root/placement/flow_tap/baseline/RL/runs/shard3/cpu-dram/best/best_cpu-dram.pt,/root/placement/flow_tap/baseline/RL/runs/shard3/cpu-dram/best/best_cpu-dram.json
hp11_m,11,43.4604,0.5,1,30.298149402166402,17.242436173090276,87.22025405706265,0.49999999905074255,0.4675223179883387,0.732605729877217,time_limit,173.28083731001243,3397.8799216590123,3573.5577497959603,/root/placement/flow_tap/baseline/RL/runs/shard3/hp11_m/best/best_hp11_m.pt,/root/placement/flow_tap/baseline/RL/runs/shard3/hp11_m/best/best_hp11_m.json
multigpu,6,47.2925,0.5,3,33.85929188726891,15.558831321296296,89.35736281839108,0.5000000049383393,0.4839788489100837,0.04777964907456736,epochs_complete,72.8691256219754,2889.9850158430054,2965.0183691059938,/root/placement/flow_tap/baseline/RL/runs/shard3/multigpu/best/best_multigpu.pt,/root/placement/flow_tap/baseline/RL/runs/shard3/multigpu/best/best_multigpu.json
