case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
cpu-dram_wl00,1,8,8,174027.089504,16.994833,81.212705,97.730000,1288.416207,35.894515,35.894515,0.160000,8.767000,
cpu-dram_wl01,1,8,8,176453.054042,17.231744,82.400488,100.550000,1288.413623,35.894515,35.894443,0.165000,8.781000,
cpu-dram_wl02,1,8,8,179340.665552,17.513737,82.180859,100.390000,1288.418791,35.894587,35.894515,0.171000,8.436000,
cpu-dram_wl03,1,8,8,148844.231152,14.535569,82.969258,100.970000,1288.413623,35.894443,35.894515,0.160000,8.687000,
cpu-dram_wl04,1,8,8,139997.175264,13.671599,83.828311,101.700000,1274.055067,35.605197,35.782840,0.161000,9.083000,
cpu-dram_wl05,1,8,8,143409.082888,14.004793,82.147820,100.660000,1276.416707,35.894515,35.560216,0.162000,8.731000,
cpu-dram_wl06,1,8,8,139272.804184,13.600860,82.813301,101.470000,1288.421412,35.894515,35.894660,0.161000,8.132000,
cpu-dram_wl07,1,8,8,120622.387284,11.779530,85.129536,103.970000,1150.678615,35.894515,32.057227,0.172000,9.191000,
cpu-dram_wl08,1,8,8,120322.955238,11.750289,84.773381,102.920000,1199.061191,35.894515,33.405137,0.192000,8.370000,
cpu-dram_wl09,1,8,8,135678.553642,13.249859,83.584995,102.360000,1276.414146,35.894443,35.560216,0.162000,8.409000,
cpu-dram_wl10,1,8,8,111492.815868,10.887970,86.468303,106.190000,1054.548938,35.894587,29.379052,0.159000,8.684000,
cpu-dram_wl11,1,8,8,118598.915876,11.581925,85.859116,108.720000,1138.269594,35.894515,31.711519,0.162000,8.408000,
cpu-dram_wl12,1,8,8,92826.402872,9.065078,88.132371,113.020000,1024.477736,35.894515,28.541345,0.158000,8.460000,
cpu-dram_wl13,1,8,8,109204.167256,10.664469,86.866653,107.190000,1032.412506,35.894515,28.762403,0.159000,8.509000,
cpu-dram_wl14,1,8,8,80163.363832,7.828453,88.829099,119.850000,898.698446,35.894587,25.037158,0.158000,8.752000,
cpu-dram_wl15,1,8,8,100294.422556,9.794377,87.617153,111.820000,993.005784,35.894515,27.664555,0.159000,8.870000,
cpu-dram_wl16,1,8,8,79250.022686,7.739260,88.900276,119.490000,826.542853,35.894515,23.026996,0.160000,9.000000,
cpu-dram_wl17,1,8,8,100549.022054,9.819240,87.711006,113.000000,1092.567731,35.894587,30.438231,0.164000,9.832000,
cpu-dram_wl18,1,8,8,98845.239770,9.652855,88.118462,115.210000,1034.599020,35.894515,28.823318,0.160000,8.889000,
cpu-dram_wl19,1,8,8,86106.092482,8.408798,88.149507,117.010000,988.181167,35.894515,27.530144,0.167000,9.047000,
cpu-dram_wl20,1,8,8,96077.901712,9.382608,88.270217,116.600000,1036.876027,35.894443,28.886812,0.159000,8.851000,
cpu-dram_wl21,1,8,8,94942.099864,9.271689,88.128091,115.710000,1008.768574,35.894515,28.103697,0.158000,8.717000,
cpu-dram_wl22,1,8,8,94185.070252,9.197761,88.231372,116.750000,986.042069,35.894515,27.470550,0.161000,9.148000,
cpu-dram_wl23,1,8,8,96955.658274,9.468326,87.922996,113.280000,1080.313319,35.894587,30.096831,0.161000,8.735000,
cpu-dram_wl24,1,8,8,90096.147174,8.798452,88.225403,115.870000,1039.210676,35.894515,28.951796,0.160000,8.965000,
cpu-dram_wl25,1,8,8,93700.191540,9.150409,88.946445,116.850000,954.796920,35.560216,26.850144,0.181000,9.468000,
