method,label,seed,src,total_wirelength_mm,bbox_area_mm2,max_temp_C
ATPlace2.5D,hp6_m_wl04,1,AT/50set.csv,53423.740352,1100.969271,81.440000
ATPlace2.5D,hp6_m_wl05,1,AT/50set.csv,78699.185280,1100.968840,81.540000
ATPlace2.5D,hp6_m_wl07,1,AT/50set.csv,22267.804396,1017.262613,85.040000
ATPlace2.5D,hp6_m_wl12,1,AT/50set.csv,24274.912282,1100.969271,84.290000
ATPlace2.5D,hp6_m_wl17,1,AT/50set.csv,21725.255348,1100.969271,85.520000
ATPlace2.5D,hp6_m_wl30,1,AT/50set.csv,18110.163208,1099.286199,87.040000
ATPlace2.5D,hp6_m_wl33,1,AT/50set.csv,18696.099094,1099.286199,86.960000
ATPlace2.5D,hp6_m_wl39,1,AT/50set.csv,19150.366758,781.640231,87.040000
ATPlace2.5D,hp6_m_wl42,1,AT/50set.csv,12675.947408,751.622105,89.070000
ATPlace2.5D,hp6_m_wl45,1,AT/50set.csv,18707.358620,917.974468,86.240000
ATPlace2.5D,hp6_m_wl46,1,AT/50set.csv,12577.086726,728.306871,89.710000
ATPlace2.5D,hp6_m_wl48,1,AT/50set.csv,19043.858164,786.666914,87.140000
RLPlanner,hp6_m,0,RL/result.csv,22366.280000,936.916400,84.420000
RLPlanner,hp6_m,1,RL/result.csv,25660.815000,951.304200,83.740000
RLPlanner,hp6_m,2,RL/result.csv,30131.825000,867.226000,81.930000
RLPlanner,hp6_m,3,RL/result.csv,29600.275000,868.549500,81.710000
RLPlanner,hp6_m,4,RL/result.csv,24015.625000,954.390375,84.390000
MILP,hp6_m,1,ILP/result.csv,2641.985000,700.699500,91.770000
TW-FM,hp6_m_t0-w0p2,946615675,result_seed3_4case.csv seed 946615675,23272.907222,573.432593,89.570000
TW-FM,hp6_m_t0p01-w0p2,946615675,result_seed3_4case.csv seed 946615675,23543.852876,579.125254,89.310000
TW-FM,hp6_m_t0p01-w50,1056634028,result_seed3_4case.csv seed 946615675,26369.906414,867.623324,85.270000
TW-FM,hp6_m_t0p03-w0p2,946615675,result_seed3_4case.csv seed 946615675,23354.120542,576.571760,89.530000
TW-FM,hp6_m_t0p3-w0p2,946615675,result_seed3_4case.csv seed 946615675,23392.308788,576.592433,89.520000
TW-FM,hp6_m_t1-w0p2,946615675,result_seed3_4case.csv seed 946615675,23678.743012,583.833889,89.280000
TW-FM,hp6_m_t1-w2,946615675,result_seed3_4case.csv seed 946615675,7559.468768,797.379897,90.750000
TW-FM,hp6_m_t1-w50,946615675,result_seed3_4case.csv seed 946615675,26502.345798,576.611103,87.380000
TW-FM,hp6_m_t10-w2,946615675,result_seed3_4case.csv seed 946615675,12704.017156,877.518451,87.740000
TW-FM,hp6_m_t10-w50,946615675,result_seed3_4case.csv seed 946615675,32089.799854,565.233516,83.720000
TW-FM,hp6_m_t100-w0p2,946615675,result_seed3_4case.csv seed 946615675,19052.861172,650.071427,91.920000
TW-FM,hp6_m_t100-w2,946615675,result_seed3_4case.csv seed 946615675,14037.323776,700.126826,87.150000
TW-FM,hp6_m_t3-w2,946615675,result_seed3_4case.csv seed 946615675,10449.771696,520.762221,91.970000
TW-FM,hp6_m_t30-w2,946615675,result_seed3_4case.csv seed 946615675,13782.979866,747.647162,89.670000
