case,chiplets,canvas_side_mm,target_ratio,best_seed,rlplanner_cost,avg_wirelength,temperature,canvas_utilization,silicon_canvas_utilization,total_success_rate,termination_reason,thermal_tables_seconds,rl_solve_seconds,wall_seconds,checkpoint,layout_json
syn1,10,40.9888,0.5,3,21.502851052504223,14.137913972947919,84.67888224044535,0.5000000076640169,0.477358569308227,0.942450914014895,time_limit,231.1072033860255,3340.1399400980445,3573.6052732440294,/root/placement/flow_tap/baseline/RL/runs/shard4/syn1/best/best_syn1.pt,/root/placement/flow_tap/baseline/RL/runs/shard4/syn1/best/best_syn1.json
syn4,13,37.4195,0.5,4,19.670883175849145,15.906519387910535,82.89006409232788,0.4999999900029298,0.45635684908353275,0.7816793893129771,time_limit,237.03068076603813,3333.9673817830044,3573.5014484390267,/root/placement/flow_tap/baseline/RL/runs/shard4/syn4/best/best_syn4.pt,/root/placement/flow_tap/baseline/RL/runs/shard4/syn4/best/best_syn4.json
xerox8_m,8,51.5034,0.5,3,12.986999205781249,12.986999205781249,79.97278958199895,0.4999999966874759,0.4803554623449589,0.996232733361239,time_limit,182.55800079699839,3387.93504906405,3572.723598069977,/root/placement/flow_tap/baseline/RL/runs/shard4/xerox8_m/best/best_xerox8_m.pt,/root/placement/flow_tap/baseline/RL/runs/shard4/xerox8_m/best/best_xerox8_m.json
