case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
xerox6_m_t1-w2,1056634028,6,8,47670.327498,8.464192,64.939670,81.060000,1118.596526,35.041867,31.921716,0.120000,10.916000,
xerox6_m_t1-w2,1486441653,6,8,47705.525484,8.470441,67.385513,81.400000,921.894499,30.760257,29.970312,0.133000,11.752000,
xerox6_m_t1-w50,946615675,6,8,84990.811994,15.090698,64.645063,81.830000,1103.411454,30.392034,36.305943,0.124000,10.769000,
xerox6_m_t1-w50,1056634028,6,8,75554.735962,13.415259,65.600420,80.390000,1122.289336,34.449904,32.577430,0.136000,10.851000,
xerox6_m_t1-w50,1486441653,6,8,347130.441192,61.635377,52.439268,73.180000,6334.594931,75.124152,84.321683,0.126000,6.578000,
xerox6_m_t10-w0,946615675,6,8,69166.062808,12.280906,62.638645,75.120000,1435.196495,36.736281,39.067550,0.120000,10.123000,
xerox6_m_t10-w0,1056634028,6,8,108382.229528,19.244004,63.851055,76.980000,1300.667583,35.902828,36.227441,0.115000,10.644000,
xerox6_m_t10-w0,1486441653,6,8,106871.344366,18.975736,63.166013,79.420000,1369.620775,34.942264,39.196681,0.127000,10.038000,
xerox6_m_t10-w0p02,946615675,6,8,66978.005346,11.892402,62.982444,75.640000,1347.244937,34.818574,38.693283,0.141000,10.050000,
xerox6_m_t10-w0p02,1056634028,6,8,86843.619410,15.419677,64.368296,77.230000,1169.934426,35.672700,32.796352,0.134000,10.732000,
xerox6_m_t10-w0p02,1486441653,6,8,72933.988478,12.949927,63.738965,79.840000,1220.740730,31.715786,38.490004,0.145000,10.336000,
xerox6_m_t10-w0p2,946615675,6,8,69408.053110,12.323873,67.446411,81.170000,917.245718,30.575055,29.999806,0.147000,9.137000,
xerox6_m_t10-w0p2,1056634028,6,8,82611.597080,14.668252,65.122922,78.390000,1129.255700,33.081381,34.135688,0.154000,8.194000,
xerox6_m_t10-w0p2,1486441653,6,8,56069.114420,9.955454,66.139578,79.550000,995.683649,30.377309,32.777217,0.152000,8.399000,
xerox6_m_t10-w2,946615675,6,8,62277.734032,11.057836,66.616204,80.580000,948.610860,28.934956,32.784251,0.155000,8.614000,
xerox6_m_t10-w2,1056634028,6,8,88191.511578,15.659004,67.403955,80.910000,916.483962,30.587650,29.962549,0.149000,8.994000,
xerox6_m_t10-w2,1486441653,6,8,60287.671534,10.704487,66.404219,80.130000,991.550931,30.220491,32.810550,0.147000,8.523000,
xerox6_m_t10-w50,946615675,6,8,179681.314904,31.903643,55.547268,74.980000,2796.564589,41.684492,67.088849,0.157000,7.359000,
