case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
acend910_wl32,1,6,5,30792.296834,12.578553,62.831738,74.630000,1599.841098,44.823336,35.692147,0.293000,32.610000,
acend910_wl33,1,6,5,28079.564508,11.470410,62.826160,74.660000,1894.752382,44.823336,42.271561,0.250000,33.125000,
acend910_wl34,1,6,5,26612.066916,10.870942,62.838542,74.950000,1671.034630,44.823336,37.280461,0.287000,34.069000,
acend910_wl35,1,6,5,27673.215912,11.304418,62.798875,74.880000,1526.452791,44.823336,34.054868,0.233000,33.559000,
acend910_wl36,1,6,5,27177.675906,11.101992,62.846736,74.980000,1476.019994,44.823336,32.929722,0.314000,33.163000,
acend910_wl37,1,6,5,25439.457340,10.391935,62.862793,75.010000,1684.753260,44.823336,37.586521,0.327000,33.071000,
acend910_wl38,1,6,5,25542.138700,10.433880,62.838818,75.040000,1630.159154,44.823336,36.368537,0.342000,35.205000,
acend910_wl39,1,6,5,24315.600028,9.932843,62.861882,75.090000,1666.599898,44.823336,37.181523,0.261000,35.849000,
acend910_wl40,1,6,5,25731.856264,10.511379,62.853452,75.040000,1606.203143,44.823336,35.834083,0.309000,35.148000,
acend910_wl41,1,6,5,28333.063586,11.573964,62.789768,74.900000,1513.291673,44.823336,33.761246,0.309000,34.915000,
acend910_wl42,1,6,5,27117.007164,11.077209,62.940110,75.000000,1433.091385,44.823336,31.971993,0.277000,36.386000,
acend910_wl43,1,6,5,27674.174208,11.304810,62.906853,74.950000,1516.203801,44.823336,33.826215,0.308000,35.812000,
acend910_wl44,1,6,5,22629.685086,9.244152,62.803196,74.790000,1958.975482,44.823336,43.704366,0.226000,34.713000,
acend910_wl45,1,6,5,28094.686604,11.476588,62.855608,74.940000,1477.124575,44.823336,32.954365,0.327000,37.073000,
acend910_wl46,1,6,5,26869.151456,10.975961,62.903242,75.010000,1415.520951,44.823336,31.580000,0.220000,35.130000,
acend910_wl47,1,6,5,24503.321532,10.009527,62.769060,74.740000,1875.074355,44.823336,41.832548,0.417000,34.673000,
acend910_wl48,1,6,5,25823.654682,10.548879,62.883254,75.040000,1570.290417,44.823336,35.032877,0.263000,34.963000,
acend910_wl49,1,6,5,27748.268890,11.335077,62.863269,74.910000,1453.827736,44.823336,32.434617,0.299000,32.646000,
cpu-dram_wl00,1,8,8,174027.089504,16.994833,81.212705,97.730000,1288.416207,35.894515,35.894515,0.160000,8.767000,
cpu-dram_wl01,1,8,8,176453.054042,17.231744,82.400488,100.550000,1288.413623,35.894515,35.894443,0.165000,8.781000,
cpu-dram_wl02,1,8,8,179340.665552,17.513737,82.180859,100.390000,1288.418791,35.894587,35.894515,0.171000,8.436000,
cpu-dram_wl03,1,8,8,148844.231152,14.535569,82.969258,100.970000,1288.413623,35.894443,35.894515,0.160000,8.687000,
