case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error
xerox8_m_thermal0_wirelength50,121,8,16,173531.636732,17.380973,67.043311,81.210000,1727.004784,41.955952,41.162331,0.629000,15.096000,
xerox8_m_thermal0p01_wirelength2,121,8,16,111886.999696,11.206631,67.333716,80.450000,1610.190579,40.893729,39.375000,0.713000,15.015000,
xerox8_m_thermal0p03_wirelength2,121,8,16,187028.136962,18.732786,66.895842,81.870000,1672.355281,39.842916,41.973717,0.605000,14.616000,
xerox8_m_thermal0p03_wirelength50,121,8,16,232910.783140,23.328404,66.375591,81.190000,1773.565900,42.323770,41.904724,0.656000,13.353000,
xerox8_m_thermal0p1_wirelength2,121,8,16,143284.834568,14.351446,66.549160,81.470000,1679.243756,38.748207,43.337328,0.672000,11.001000,
xerox8_m_thermal0p3_wirelength2,121,8,16,171254.430142,17.152888,66.319993,80.500000,1730.964559,44.061162,39.285495,0.690000,10.253000,
xerox8_m_thermal100_wirelength2,121,8,16,182370.752618,18.266301,67.121968,84.010000,1647.773187,40.951008,40.237671,0.675000,8.916000,
xerox8_m_thermal10_wirelength2,121,8,16,193221.607262,19.353126,66.368987,80.720000,1774.662732,41.928335,42.326096,0.654000,8.671000,
xerox8_m_thermal1_wirelength2,121,8,16,150660.881494,15.090233,68.015767,84.040000,1577.980196,39.152021,40.303927,0.323000,9.033000,
xerox8_m_thermal1_wirelength50,121,8,16,176827.485750,17.711086,66.646787,83.630000,1733.166330,40.552485,42.738844,0.330000,8.712000,
xerox8_m_thermal30_wirelength2,121,8,16,200028.575766,20.034913,66.007661,80.100000,1861.910367,43.354100,42.946581,0.375000,8.680000,
xerox8_m_thermal3_wirelength2,121,8,16,171176.219944,17.145054,66.720647,82.860000,1756.616819,40.990023,42.854741,0.329000,8.500000,
