method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
TW-FM,hp11_m_thermal0p03_wirelength0p02,121,191074.184126,1552.893332,95.150000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal0p03_wirelength0p2,121,252714.306716,1726.427464,97.260000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal0p03_wirelength2,121,171942.704226,1676.106709,95.510000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal0p1_wirelength0,121,209073.884786,1703.814556,93.450000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal0p1_wirelength0p2,121,253491.310848,1723.023467,97.240000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal0p1_wirelength2,121,203765.284142,1436.848490,97.830000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal0p3_wirelength0p02,121,233927.002830,1732.606154,92.530000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal0p3_wirelength0p2,121,242559.355628,1645.557843,97.070000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal0p3_wirelength2,121,204698.629540,1625.283520,98.300000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal100_wirelength0,121,308333.518560,1747.371103,94.960000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal100_wirelength0p02,121,293831.039804,1753.354702,94.750000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal100_wirelength0p2,121,206248.045610,1486.818963,94.650000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal10_wirelength0,121,270321.648472,1695.191429,95.710000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal10_wirelength0p02,121,214923.329204,1548.727125,95.960000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal10_wirelength0p2,121,234679.029648,1673.128572,94.960000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal1_wirelength0p02,121,269989.935466,1772.254620,91.660000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal1_wirelength0p2,121,235801.154870,1574.545476,97.030000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal1_wirelength2,121,142071.993666,1343.160565,102.480000,result_seed121_7case.csv seed 121
TW-FM,hp11_m_thermal30_wirelength0,121,228572.800082,1671.057367,96.380000,result_seed121_7case.csv seed 121
