method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
ATPlace2.5D,xerox7_m_wl00,1,167259.004742,2115.933853,76.220000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl01,1,166201.848064,2113.627950,75.900000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl02,1,150516.563692,2115.933853,76.210000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl03,1,153666.610244,2115.938084,75.930000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl04,1,150131.746252,2115.933853,76.110000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl05,1,119775.528056,2115.937992,76.220000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl06,1,64237.355482,1850.840771,78.910000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl07,1,123093.878748,2077.583578,76.350000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl08,1,109128.131574,1974.224783,76.800000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl09,1,102814.038144,1972.540700,76.550000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl10,1,75991.717056,2092.514284,77.760000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl11,1,107818.466472,1975.035476,76.290000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl12,1,101923.077304,1998.321462,76.230000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl13,1,109243.310632,2034.295271,76.180000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl14,1,70885.243214,1990.718637,77.500000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl15,1,78544.577694,2005.355597,77.400000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl16,1,97705.704094,2023.602947,76.270000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl17,1,92719.654264,1916.005586,76.410000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl18,1,104552.023254,1964.658294,76.560000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl19,1,98659.819966,1950.386069,76.660000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl20,1,91073.865376,1984.765447,79.090000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl21,1,70257.807456,1958.761670,79.690000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl22,1,65310.379948,1909.089300,78.760000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl23,1,65954.413342,1902.525376,78.670000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl24,1,68728.629330,1903.057051,79.900000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl25,1,62260.544464,1713.799668,79.590000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl26,1,63491.963348,1875.950729,79.630000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl27,1,77857.705322,1866.711470,79.310000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl28,1,73097.713026,1978.678390,80.630000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl29,1,80841.772392,1822.145631,79.980000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl30,1,73570.166890,2026.266498,80.590000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl31,1,71315.392644,2057.560761,79.390000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl32,1,88272.936260,1948.552442,79.170000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl33,1,69133.861634,1898.097096,80.160000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl34,1,72403.347828,1934.746240,79.520000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl35,1,69352.070652,1819.591955,79.460000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl36,1,67412.786716,1913.560424,79.770000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl37,1,75321.268024,1810.759412,81.560000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl38,1,71623.042994,2049.864902,80.010000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl39,1,84505.787832,1957.391578,79.040000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl40,1,72810.588764,2006.473381,80.450000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl41,1,64616.114516,1857.663336,79.490000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl42,1,69328.158200,1902.733787,80.180000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl43,1,64019.718882,1820.338365,80.280000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl44,1,71881.675192,1980.900784,80.320000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl45,1,71822.554094,2025.873478,80.080000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl46,1,65971.952314,1841.052708,79.790000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl47,1,65447.325082,1921.192724,78.760000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl48,1,80490.778928,1832.023606,79.870000,AT/50set.csv
ATPlace2.5D,xerox7_m_wl49,1,68304.134520,1942.505720,79.810000,AT/50set.csv
RLPlanner,xerox7_m,0,82169.960000,1823.704200,80.010000,RL/result.csv
RLPlanner,xerox7_m,1,90534.985000,1931.787900,78.650000,RL/result.csv
RLPlanner,xerox7_m,2,74142.255000,1492.856675,81.140000,RL/result.csv
RLPlanner,xerox7_m,3,70620.165000,1680.543375,79.020000,RL/result.csv
RLPlanner,xerox7_m,4,70205.720000,1593.117225,80.800000,RL/result.csv
MILP,xerox7_m,1,49029.635000,1426.956650,82.260000,ILP/result.csv
TW-FM,xerox7_m_t0-w0,946615675,137484.934178,1794.972878,77.820000,result_seed3_4case.csv
TW-FM,xerox7_m_t0-w0p02,946615675,123155.140684,1563.255988,80.330000,result_seed3_4case.csv
TW-FM,xerox7_m_t0-w0p2,946615675,90006.661890,1481.997647,82.530000,result_seed3_4case.csv
TW-FM,xerox7_m_t0-w2,946615675,90328.340820,1233.921440,81.000000,result_seed3_4case.csv
TW-FM,xerox7_m_t0-w50,946615675,115515.154274,1512.997909,79.520000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p01-w0,946615675,142328.980472,1788.586308,78.010000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p01-w0p02,946615675,122925.465488,1584.533545,80.260000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p01-w0p2,946615675,98252.729938,1397.724442,79.850000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p01-w0p2,1486441653,132262.066822,1377.932837,78.600000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p01-w2,946615675,86462.406592,1276.963006,82.940000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p03-w0,946615675,134151.426804,1733.232601,78.110000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p03-w0p02,946615675,123376.404362,1576.358712,80.270000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p03-w0p2,946615675,148137.944152,1277.693708,82.390000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p03-w2,946615675,85370.468008,1302.121899,81.170000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p1-w0,946615675,141098.818028,1823.731919,77.880000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p1-w0p02,946615675,123314.246378,1590.707682,80.180000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p1-w0p2,946615675,121466.902820,1466.681381,79.670000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p1-w2,946615675,129154.169886,1334.758044,81.990000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p3-w0,946615675,154490.336810,1804.988583,77.960000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p3-w0p02,946615675,121128.023314,1615.487003,80.050000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p3-w0p2,946615675,134370.015542,1569.569143,81.610000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p3-w2,946615675,81362.873864,1340.310750,82.890000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p3-w50,946615675,165715.508226,1694.932973,81.110000,result_seed3_4case.csv
TW-FM,xerox7_m_t0p3-w50,1056634028,114130.862874,1178.777936,81.640000,result_seed3_4case.csv
TW-FM,xerox7_m_t1-w0,946615675,136056.457858,1875.157017,77.160000,result_seed3_4case.csv
TW-FM,xerox7_m_t1-w0p02,946615675,120375.462184,1692.227807,79.050000,result_seed3_4case.csv
TW-FM,xerox7_m_t1-w0p2,946615675,154704.475298,1473.718816,80.980000,result_seed3_4case.csv
TW-FM,xerox7_m_t1-w2,946615675,118063.849988,1278.347355,79.960000,result_seed3_4case.csv
TW-FM,xerox7_m_t10-w0,946615675,209253.403588,2086.981818,78.690000,result_seed3_4case.csv
TW-FM,xerox7_m_t10-w0p02,946615675,173167.039662,1808.686713,79.390000,result_seed3_4case.csv
TW-FM,xerox7_m_t10-w0p2,946615675,118635.659170,1531.197639,82.080000,result_seed3_4case.csv
TW-FM,xerox7_m_t10-w2,946615675,122697.047222,1386.153952,81.420000,result_seed3_4case.csv
TW-FM,xerox7_m_t10-w50,946615675,172865.971710,1411.681160,83.720000,result_seed3_4case.csv
TW-FM,xerox7_m_t100-w0,946615675,161118.796472,1920.075775,78.410000,result_seed3_4case.csv
TW-FM,xerox7_m_t100-w0p02,946615675,165680.336768,1922.617290,79.120000,result_seed3_4case.csv
TW-FM,xerox7_m_t100-w0p2,946615675,106252.194056,1468.630381,81.060000,result_seed3_4case.csv
TW-FM,xerox7_m_t100-w0p2,1486441653,127487.257148,1571.757636,77.620000,result_seed3_4case.csv
