method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
TW-FM,cpu-dram_thermal0p03_wirelength0,121,131483.671740,1118.712072,103.300000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p03_wirelength0p02,121,130669.851230,1078.081276,110.200000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p03_wirelength0p2,121,130715.370608,809.604531,113.020000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p03_wirelength2,121,88655.289778,853.088615,119.880000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p03_wirelength50,121,220998.622648,841.836037,120.470000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p1_wirelength0,121,131410.137862,1125.599021,102.940000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p1_wirelength0p02,121,131020.751374,1092.884707,109.880000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p1_wirelength0p2,121,130811.440230,810.692062,113.000000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p1_wirelength2,121,92738.149010,730.658560,117.190000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p3_wirelength0,121,136050.542520,1065.583224,101.670000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p3_wirelength0p02,121,124201.680478,1015.767536,110.900000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p3_wirelength0p2,121,130352.095796,812.170920,112.930000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal0p3_wirelength2,121,79390.326060,908.669037,118.160000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal100_wirelength0,121,188186.716154,1149.237577,99.850000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal100_wirelength0p02,121,131335.639700,1019.129777,101.240000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal100_wirelength0p2,121,123269.699980,973.409205,105.080000,result_seed121_7case.csv
TW-FM,cpu-dram_thermal100_wirelength2,121,101412.422972,873.292456,117.010000,result_seed121_7case.csv
