case,method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
Case7,ATPlace2.5D,Case7_wl38,1,35373.254128,753.492042,78.000000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl39,1,33794.459282,753.492042,78.730000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl40,1,36251.836294,753.484493,77.810000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl41,1,35266.465606,753.484493,77.920000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl42,1,33463.657298,753.484493,78.480000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl43,1,33573.251596,753.489022,79.360000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl44,1,31123.280178,753.490532,80.080000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl45,1,33189.977168,753.484493,78.510000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl46,1,33104.203738,753.484493,78.510000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl47,1,30904.023832,753.484493,79.890000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl48,1,30381.679188,748.713299,79.640000,AT/50set.csv
Case7,ATPlace2.5D,Case7_wl49,1,31298.941006,742.462972,79.170000,AT/50set.csv
Case7,RLPlanner,Case7,1,61041.709298,751.795037,78.690000,RL/result.csv
Case7,RLPlanner,Case7,2,59137.162486,745.044486,78.960000,RL/result.csv
Case7,RLPlanner,Case7,3,68540.567900,751.482504,76.900000,RL/result.csv
Case7,RLPlanner,Case7,4,65210.115148,725.485101,77.560000,RL/result.csv
Case7,RLPlanner,Case7,5,61859.580230,747.014921,79.160000,RL/result.csv
Case7,MILP,Case7,1,20618.615000,691.015375,81.350000,ILP/result.csv
Case7,TW-FM,Case7_thermal0_wirelength0,121,59058.833762,558.272682,80.380000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0_wirelength0p02,121,59499.953488,526.861187,80.780000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0_wirelength0p2,121,55121.614108,487.667012,82.730000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p01_wirelength0,121,57898.121652,555.668923,80.080000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p01_wirelength0p02,121,60004.193218,532.366290,80.660000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p01_wirelength0p2,121,55617.567038,499.597113,82.500000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p03_wirelength0,121,62634.013274,561.119169,79.980000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p03_wirelength0p02,121,59067.518058,526.444196,80.910000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p03_wirelength0p2,121,54275.695406,482.396591,82.810000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p03_wirelength2,121,56954.625570,579.833974,78.640000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p1_wirelength0,121,60070.194436,565.969217,80.150000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p1_wirelength0p02,121,58883.697762,527.077537,81.240000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p1_wirelength0p2,121,55282.333826,487.650680,82.740000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p3_wirelength0,121,58240.628668,562.715669,79.780000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p3_wirelength0p02,121,61012.911346,531.760735,80.500000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal0p3_wirelength0p2,121,54580.721176,487.647130,82.770000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal100_wirelength0,121,62017.016032,640.250193,77.110000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal100_wirelength0p02,121,64134.146216,692.261710,77.150000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal100_wirelength0p2,121,50886.702614,565.539256,81.510000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal10_wirelength0,121,69905.298072,650.453263,77.120000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal10_wirelength0p02,121,71126.616464,670.205184,77.230000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal10_wirelength0p2,121,59243.224364,564.525683,81.130000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal1_wirelength0,121,63038.014808,569.817602,80.340000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal1_wirelength0p02,121,59791.669676,537.473050,80.580000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal1_wirelength0p2,121,52510.538954,516.379228,82.690000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal30_wirelength0,121,68935.804524,698.667411,77.110000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal30_wirelength0p02,121,64633.858450,661.392926,77.650000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal30_wirelength0p2,121,57465.454296,560.774807,81.120000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal30_wirelength2,121,44711.924914,530.146749,80.400000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal3_wirelength0,121,60642.898734,599.382596,78.290000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal3_wirelength0p02,121,60304.229024,603.061976,79.480000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal3_wirelength0p2,121,49835.051374,549.152890,82.480000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal3_wirelength2,121,50890.032558,556.344860,78.600000,result_seed121_7case.csv
Case7,TW-FM,Case7_thermal3_wirelength50,121,57067.695834,638.441719,77.870000,result_seed121_7case.csv
acend910,ATPlace2.5D,acend910_wl00,1,43198.520920,2009.131450,73.730000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl01,1,43254.043536,2009.131450,73.730000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl02,1,44024.166816,2009.135574,73.760000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl03,1,43246.535274,2009.131450,73.720000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl04,1,44024.166816,2009.135574,73.760000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl05,1,42807.565552,2009.131450,73.820000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl06,1,43331.995000,2009.131450,73.730000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl07,1,43209.573176,2009.131450,73.740000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl08,1,43186.709264,2009.131450,73.740000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl09,1,41900.835254,2009.131450,73.840000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl10,1,42693.784468,2009.131450,73.720000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl11,1,42285.266460,2009.131450,73.750000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl12,1,42536.040900,2009.131450,73.780000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl13,1,41842.309176,2009.131450,73.770000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl14,1,44024.166816,2009.135574,73.760000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl15,1,42451.952910,2009.131450,73.790000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl16,1,42283.183828,2009.131450,73.750000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl17,1,42920.461632,2009.131450,73.820000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl18,1,42354.311998,2009.131450,73.820000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl19,1,41873.970740,2009.131450,73.810000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl20,1,36751.857846,1652.094932,74.250000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl21,1,34383.968702,1876.854289,74.250000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl22,1,32060.328004,2009.131450,74.420000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl23,1,30947.428854,1749.026069,74.600000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl24,1,29687.453604,1721.741073,74.720000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl25,1,29113.503032,1698.865260,74.700000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl26,1,29698.587602,1679.648554,74.690000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl27,1,33161.022656,1573.635000,74.500000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl28,1,30979.097888,1493.175946,74.700000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl29,1,28930.883486,1739.153460,74.660000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl30,1,28454.818640,1617.262404,74.800000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl31,1,28587.891820,1624.099353,74.790000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl32,1,30792.296834,1599.841098,74.630000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl33,1,28079.564508,1894.752382,74.660000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl34,1,26612.066916,1671.034630,74.950000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl35,1,27673.215912,1526.452791,74.880000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl36,1,27177.675906,1476.019994,74.980000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl37,1,25439.457340,1684.753260,75.010000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl38,1,25542.138700,1630.159154,75.040000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl39,1,24315.600028,1666.599898,75.090000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl40,1,25731.856264,1606.203143,75.040000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl41,1,28333.063586,1513.291673,74.900000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl42,1,27117.007164,1433.091385,75.000000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl43,1,27674.174208,1516.203801,74.950000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl44,1,22629.685086,1958.975482,74.790000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl45,1,28094.686604,1477.124575,74.940000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl46,1,26869.151456,1415.520951,75.010000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl47,1,24503.321532,1875.074355,74.740000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl48,1,25823.654682,1570.290417,75.040000,AT/50set.csv
acend910,ATPlace2.5D,acend910_wl49,1,27748.268890,1453.827736,74.910000,AT/50set.csv
acend910,RLPlanner,acend910,1,19577.542562,1781.594701,75.180000,RL/result.csv
acend910,RLPlanner,acend910,2,18625.392544,1660.188924,75.130000,RL/result.csv
acend910,RLPlanner,acend910,3,17692.861952,1541.300026,75.290000,RL/result.csv
acend910,RLPlanner,acend910,4,18808.036380,1577.417837,75.220000,RL/result.csv
acend910,RLPlanner,acend910,5,17972.290984,1677.917845,75.220000,RL/result.csv
acend910,MILP,acend910,1,13789.240000,1627.762000,75.430000,ILP/result.csv
acend910,TW-FM,acend910_thermal0_wirelength0,121,26218.210160,1564.183467,74.960000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0_wirelength0p02,121,24273.771478,1495.871438,74.970000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p01_wirelength0,121,27821.880640,1571.634847,74.670000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p01_wirelength0p02,121,24279.812644,1494.303413,74.960000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p01_wirelength2,121,21455.441746,1436.100486,75.030000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p01_wirelength50,121,34783.758958,1992.205992,74.430000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p03_wirelength0,121,25919.768926,1563.280166,74.990000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p03_wirelength0p02,121,24213.762694,1494.345479,74.960000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p03_wirelength2,121,18636.936624,1442.259867,75.170000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p03_wirelength50,121,59232.863576,1744.244300,73.150000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p1_wirelength0,121,26250.206654,1567.328220,74.960000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p1_wirelength0p02,121,24403.147906,1511.744712,74.970000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p1_wirelength2,121,19985.514624,1629.384307,75.100000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p3_wirelength0,121,26040.428154,1574.475345,74.980000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal0p3_wirelength0p02,121,24377.778048,1505.580502,74.980000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal100_wirelength0,121,20757.031022,1541.940718,75.430000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal100_wirelength0p02,121,18898.145160,1236.949924,75.430000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal100_wirelength2,121,22301.700406,1701.033734,75.090000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal10_wirelength0,121,29062.944048,1626.759144,74.610000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal10_wirelength0p02,121,24492.445962,1616.084195,75.130000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal10_wirelength2,121,18997.677480,1284.049533,75.540000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal10_wirelength50,121,32021.654688,1532.890116,74.840000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal1_wirelength0,121,26463.314834,1572.134731,74.950000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal1_wirelength0p02,121,24451.651712,1514.214932,74.970000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal1_wirelength2,121,18642.481256,1467.153327,75.120000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal1_wirelength50,121,55566.874168,1520.540488,73.530000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal30_wirelength0,121,25696.543582,1572.857925,74.990000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal30_wirelength0p02,121,21167.321632,1652.453844,75.070000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal30_wirelength0p2,121,18669.768016,1234.003029,75.460000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal30_wirelength2,121,19289.801200,1431.327468,75.230000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal3_wirelength0,121,27574.321794,1592.947369,74.780000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal3_wirelength0p02,121,22621.973308,1556.360649,75.040000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal3_wirelength2,121,16281.751820,1435.666930,75.400000,result_seed121_7case.csv
acend910,TW-FM,acend910_thermal3_wirelength50,121,60040.339336,1733.482711,73.230000,result_seed121_7case.csv
acend910,TW-FM,acend910_t0p01-w2,1486441653,31990.543966,1589.907599,74.600000,result_seed121_7case.csv
acend910,TW-FM,acend910_t0p03-w0,946615675,20934.031192,1430.442963,75.160000,result_seed121_7case.csv
acend910,TW-FM,acend910_t0p03-w0,1486441653,25727.917600,1648.169025,74.720000,result_seed121_7case.csv
acend910,TW-FM,acend910_t0p1-w2,946615675,43221.086150,1484.136712,74.180000,result_seed121_7case.csv
acend910,TW-FM,acend910_t0p1-w2,1056634028,19853.230164,1345.441753,75.300000,result_seed121_7case.csv
acend910,TW-FM,acend910_t0p1-w2,1486441653,20341.777624,1204.975476,75.640000,result_seed121_7case.csv
acend910,TW-FM,acend910_t0p3-w0,1056634028,26567.904320,1467.821958,74.880000,result_seed121_7case.csv
acend910,TW-FM,acend910_t0p3-w0p2,946615675,19082.152452,1209.136598,75.530000,result_seed121_7case.csv
acend910,TW-FM,acend910_t10-w0p02,1056634028,24053.878306,1770.883557,74.730000,result_seed121_7case.csv
acend910,TW-FM,acend910_t10-w2,1056634028,28474.913190,1235.531733,75.270000,result_seed121_7case.csv
acend910,TW-FM,acend910_t10-w2,1486441653,41438.636258,1322.303906,74.320000,result_seed121_7case.csv
acend910,TW-FM,acend910_t100-w0,1056634028,26301.126798,1845.262563,74.660000,result_seed121_7case.csv
acend910,TW-FM,acend910_t100-w0,1486441653,27778.259360,1529.574136,74.790000,result_seed121_7case.csv
acend910,TW-FM,acend910_t100-w0p2,1056634028,17554.370144,1432.790868,75.320000,result_seed121_7case.csv
acend910,TW-FM,acend910_t100-w2,1056634028,19164.626840,1505.648416,75.080000,result_seed121_7case.csv
acend910,TW-FM,acend910_t100-w2,1486441653,24434.845492,1421.288154,75.180000,result_seed121_7case.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl00,1,174027.089504,1288.416207,97.730000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl01,1,176453.054042,1288.413623,100.550000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl02,1,179340.665552,1288.418791,100.390000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl03,1,148844.231152,1288.413623,100.970000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl04,1,139997.175264,1274.055067,101.700000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl05,1,143409.082888,1276.416707,100.660000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl06,1,139272.804184,1288.421412,101.470000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl07,1,120622.387284,1150.678615,103.970000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl08,1,120322.955238,1199.061191,102.920000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl09,1,135678.553642,1276.414146,102.360000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl10,1,111492.815868,1054.548938,106.190000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl11,1,118598.915876,1138.269594,108.720000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl12,1,92826.402872,1024.477736,113.020000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl13,1,109204.167256,1032.412506,107.190000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl14,1,80163.363832,898.698446,119.850000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl15,1,100294.422556,993.005784,111.820000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl16,1,79250.022686,826.542853,119.490000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl17,1,100549.022054,1092.567731,113.000000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl18,1,98845.239770,1034.599020,115.210000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl19,1,86106.092482,988.181167,117.010000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl20,1,96077.901712,1036.876027,116.600000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl21,1,94942.099864,1008.768574,115.710000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl22,1,94185.070252,986.042069,116.750000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl23,1,96955.658274,1080.313319,113.280000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl24,1,90096.147174,1039.210676,115.870000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl25,1,93700.191540,954.796920,116.850000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl26,1,85969.391408,1081.317203,116.900000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl27,1,89494.908128,992.844798,116.510000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl28,1,87001.037032,1026.831748,116.110000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl29,1,96829.506902,960.485553,118.210000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl30,1,95109.971700,995.396837,116.850000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl31,1,94261.819118,963.774830,116.710000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl32,1,89730.686558,1000.264301,117.010000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl33,1,75716.264030,980.402000,120.510000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl34,1,91185.894012,973.830044,116.060000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl35,1,76571.482910,769.150395,120.230000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl36,1,87133.829324,1001.726931,117.170000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl37,1,89043.803090,988.181167,116.850000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl38,1,90245.004340,1034.777661,116.620000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl39,1,86739.269998,1001.534608,116.730000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl40,1,93434.055724,954.796920,117.870000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl41,1,80053.423198,848.652639,120.600000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl42,1,92821.413144,1035.291497,116.210000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl43,1,88292.881820,1050.969683,117.070000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl44,1,87254.766128,1082.341956,117.010000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl45,1,99767.258760,959.938938,118.420000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl46,1,94988.792026,1070.733907,117.230000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl47,1,76889.937982,793.982710,120.630000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl48,1,93670.164658,954.796920,118.060000,AT/50set.csv
cpu-dram,ATPlace2.5D,cpu-dram_wl49,1,96093.575914,954.786027,118.340000,AT/50set.csv
cpu-dram,RLPlanner,cpu-dram,1,132058.271792,1124.233766,100.930000,RL/result.csv
cpu-dram,RLPlanner,cpu-dram,2,159351.635852,1130.501631,101.460000,RL/result.csv
cpu-dram,RLPlanner,cpu-dram,3,136566.912018,1235.006922,99.930000,RL/result.csv
cpu-dram,RLPlanner,cpu-dram,4,127487.870228,1137.000044,102.540000,RL/result.csv
cpu-dram,RLPlanner,cpu-dram,5,170343.848856,1216.741250,100.520000,RL/result.csv
cpu-dram,MILP,cpu-dram,1,64984.760000,951.667400,121.280000,ILP/result.csv
cpu-dram,TW-FM,cpu-dram_thermal0_wirelength0,121,131403.384032,1117.226012,103.320000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0_wirelength0p02,121,131093.313490,1119.547868,109.840000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0_wirelength0p2,121,214474.257090,905.254056,111.290000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0_wirelength2,121,87719.082960,872.221876,118.210000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0p01_wirelength0,121,131560.979076,1116.267412,103.390000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0p01_wirelength0p02,121,130225.499744,1080.523955,110.220000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0p01_wirelength0p2,121,130241.637022,813.966173,113.050000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0p01_wirelength2,121,91919.796204,904.263433,115.470000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0p03_wirelength0,121,131483.671740,1118.712072,103.300000,result_seed121_7case.csv
cpu-dram,TW-FM,cpu-dram_thermal0p03_wirelength0p02,121,130669.851230,1078.081276,110.200000,result_seed121_7case.csv
