method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
TW-FM,syn1_thermal0p01_wirelength0,121,93017.772728,1353.762958,94.820000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p01_wirelength0p02,121,89196.377538,1296.794988,95.650000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p01_wirelength0p2,121,84880.634106,1256.435073,97.550000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p01_wirelength2,121,107699.487866,1261.684735,88.650000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p01_wirelength50,121,102995.464338,1299.903258,98.750000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p03_wirelength0,121,91643.910544,1336.083107,94.880000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p03_wirelength0p02,121,91522.119128,1309.963440,95.380000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p03_wirelength0p2,121,102001.508250,1194.736946,98.000000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p03_wirelength2,121,113816.376454,1267.843982,97.360000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p03_wirelength50,121,140940.904052,1216.303027,95.050000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p1_wirelength0,121,92397.419354,1335.014605,94.790000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p1_wirelength0p02,121,91581.853514,1311.240238,95.360000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p1_wirelength0p2,121,86123.435688,1247.726981,97.360000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p1_wirelength2,121,87151.714220,1207.080539,95.470000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p3_wirelength0,121,91460.742952,1329.961674,95.000000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p3_wirelength0p02,121,89128.888030,1295.159344,95.480000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p3_wirelength0p2,121,85675.222326,1253.184458,97.440000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal0p3_wirelength50,121,131296.629856,1311.067547,97.510000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal100_wirelength0,121,124993.403144,1511.383084,91.580000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal100_wirelength0p02,121,113880.493176,1541.430599,91.790000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal100_wirelength0p2,121,73975.991878,1244.113231,96.310000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal100_wirelength2,121,115801.439444,1220.593476,97.320000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal10_wirelength0,121,120321.702744,1629.461062,91.810000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal10_wirelength0p02,121,105093.391848,1518.021564,92.550000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal10_wirelength0p2,121,76249.613644,1302.164161,98.530000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal10_wirelength2,121,91456.846802,1352.817158,97.350000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal10_wirelength50,121,166046.927846,1628.194544,91.270000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal1_wirelength0,121,93279.735594,1328.748449,95.150000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal1_wirelength0p02,121,89890.100784,1296.782753,95.270000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal1_wirelength0p2,121,72195.405350,1214.583890,100.030000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal1_wirelength2,121,66790.041284,1120.025615,98.850000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal30_wirelength0,121,125521.283480,1535.703960,91.920000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal30_wirelength0p02,121,114886.094768,1538.294857,91.930000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal30_wirelength0p2,121,75270.794312,1222.131462,94.190000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal30_wirelength2,121,83005.522538,1278.880359,95.650000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal3_wirelength0,121,102386.505818,1533.140769,94.050000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal3_wirelength0p02,121,91648.649250,1329.673549,95.140000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal3_wirelength0p2,121,72438.091132,1276.229265,97.670000,result_seed121_7case.csv seed 121
TW-FM,syn1_thermal3_wirelength2,121,100561.983700,1062.799883,97.470000,result_seed121_7case.csv seed 121
TW-FM,syn1_t0-w0p2,946615675,113606.727548,1368.481808,87.750000,result_seed121_7case.csv seed 121
TW-FM,syn1_t0p3-w0p2,946615675,117146.443138,1433.160746,87.430000,result_seed121_7case.csv seed 121
TW-FM,syn1_t0p3-w0p2,1056634028,104084.877942,1292.112826,94.210000,result_seed121_7case.csv seed 121
TW-FM,syn1_t0p3-w0p2,1486441653,130688.394988,1036.397059,94.450000,result_seed121_7case.csv seed 121
TW-FM,syn1_t3-w2,946615675,111462.607526,1276.992231,91.410000,result_seed121_7case.csv seed 121
TW-FM,syn1_t3-w2,1056634028,123267.402528,1154.129214,94.530000,result_seed121_7case.csv seed 121
TW-FM,syn1_t3-w2,1486441653,89946.786702,1235.843683,95.430000,result_seed121_7case.csv seed 121
