method,label,seed,total_wirelength_mm,bbox_area_mm2,max_temp_C,src
TW-FM,Case7_t0p03-w0p2,347930200,45212.674612,550.190702,81.480000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p03-w2,347930200,46494.641332,486.781104,79.640000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p03-w50,347930200,50555.171828,727.721303,80.010000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p1-w0,347930200,52516.472516,648.562573,78.530000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p1-w0p02,347930200,53492.394880,621.271157,80.060000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p1-w0p2,347930200,47295.595050,555.540819,80.580000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p1-w2,347930200,50810.709352,504.383588,79.960000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p1-w50,703339479,83055.947082,557.103479,78.970000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p3-w0,347930200,55222.530586,644.443375,78.940000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p3-w0p02,347930200,54626.649650,655.598507,79.680000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p3-w0p2,347930200,47332.432100,577.135725,80.650000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p3-w2,347930200,42893.115722,552.354232,82.100000,newsweep_20260918 seed 347930200
TW-FM,Case7_t0p3-w50,347930200,63873.153354,544.896638,78.790000,newsweep_20260918 seed 347930200
TW-FM,Case7_t1-w0,347930200,54398.673554,617.511536,79.740000,newsweep_20260918 seed 347930200
TW-FM,Case7_t1-w0p02,347930200,52589.336152,618.531409,79.580000,newsweep_20260918 seed 347930200
TW-FM,Case7_t1-w0p2,347930200,45907.890496,555.192541,81.300000,newsweep_20260918 seed 347930200
TW-FM,Case7_t1-w2,347930200,55383.932984,535.210589,79.080000,newsweep_20260918 seed 347930200
TW-FM,Case7_t1-w50,347930200,70286.600084,480.116916,79.210000,newsweep_20260918 seed 347930200
TW-FM,Case7_t10-w0,347930200,57991.638210,633.333687,79.100000,newsweep_20260918 seed 347930200
TW-FM,Case7_t10-w0p02,347930200,55223.654148,668.971831,79.110000,newsweep_20260918 seed 347930200
TW-FM,Case7_t10-w0p2,347930200,45724.665710,670.769560,79.900000,newsweep_20260918 seed 347930200
TW-FM,Case7_t10-w2,347930200,46159.100870,522.169796,79.620000,newsweep_20260918 seed 347930200
TW-FM,Case7_t10-w50,1440521826,95186.055034,508.007666,79.670000,newsweep_20260918 seed 347930200
TW-FM,Case7_t100-w0,347930200,57174.834476,641.659917,78.260000,newsweep_20260918 seed 347930200
TW-FM,Case7_t100-w0p02,347930200,54343.846782,692.749514,78.360000,newsweep_20260918 seed 347930200
TW-FM,Case7_t100-w0p2,347930200,50828.479960,592.788066,79.670000,newsweep_20260918 seed 347930200
TW-FM,Case7_t100-w2,347930200,56018.475584,490.183314,80.480000,newsweep_20260918 seed 347930200
TW-FM,Case7_t100-w50,347930200,60854.435250,459.356939,79.980000,newsweep_20260918 seed 347930200
TW-FM,Case7_t3-w0,347930200,56857.275464,636.188352,79.400000,newsweep_20260918 seed 347930200
TW-FM,Case7_t3-w0p02,347930200,54633.061618,646.715898,79.260000,newsweep_20260918 seed 347930200
TW-FM,Case7_t3-w0p2,347930200,60523.270060,614.826349,78.550000,newsweep_20260918 seed 347930200
TW-FM,Case7_t3-w2,347930200,42098.408648,549.521850,81.070000,newsweep_20260918 seed 347930200
TW-FM,Case7_t3-w50,347930200,76955.683776,719.335909,76.080000,newsweep_20260918 seed 347930200
TW-FM,Case7_t30-w0,347930200,58769.472446,631.032976,79.460000,newsweep_20260918 seed 347930200
TW-FM,Case7_t30-w0p02,347930200,55789.240178,658.671828,78.930000,newsweep_20260918 seed 347930200
TW-FM,Case7_t30-w0p2,347930200,52553.215776,609.596094,79.780000,newsweep_20260918 seed 347930200
TW-FM,Case7_t30-w2,347930200,48283.076494,517.101595,81.700000,newsweep_20260918 seed 347930200
TW-FM,Case7_t30-w50,703339479,71011.275830,755.515721,76.570000,newsweep_20260918 seed 347930200
