method,case,pick,seed,n_chiplets,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2
RL,syn4,,4,13,207675.516588,15.906519,74.778313,83.11,1384.261054
RL,syn4,,5,13,192173.196582,14.719148,74.766323,84.81,1368.70325
RL,xerox8_m,,1,8,132309.201278,13.252124,64.287876,80.67,2374.788976
RL,xerox8_m,,2,8,133598.687278,13.381279,64.745969,78.27,2115.100194
RL,xerox8_m,,3,8,129662.19874,12.986999,64.194043,79.96,2372.62749
RL,xerox8_m,,4,8,137843.566422,13.806447,64.940415,79.9,2134.243581
RL,xerox8_m,,5,8,135141.645368,13.535822,65.003345,79.04,2054.699857
AT,Case10,,1,61,98096.683546,9.289459,90.847126,117.11,2298.067724
AT,Case10,,2,61,91049.77325,8.622138,90.495737,115.36,2347.755172
AT,Case10,,3,61,91805.541908,8.693707,90.627712,115.86,2298.125339
AT,Case10,,4,61,93377.99446,8.842613,91.293965,117.14,2298.44239
AT,Case10,,5,61,97460.974922,9.229259,90.752783,116.96,2348.042277
AT,Case6,,1,20,77594.457598,6.888712,81.826807,100.04,2567.198698
AT,Case6,,2,20,71683.377798,6.363936,82.895342,105.31,2377.551142
AT,Case6,,3,20,74272.061192,6.593755,82.113467,101.36,2567.198698
AT,Case6,,4,20,75305.52913,6.685505,82.034053,100.91,2567.198698
AT,Case6,,5,20,75321.6124,6.686933,82.115706,101.1,2567.198698
AT,Case7,,1,28,32759.106056,5.816603,67.05321,79.67,748.002876
AT,Case7,,2,28,33893.21108,6.017971,66.923264,79.27,753.484493
AT,Case7,,3,28,34280.509786,6.086738,66.910085,79.24,753.188915
AT,Case7,,4,28,32331.23014,5.74063,67.026555,79.71,752.220024
AT,Case7,,5,28,43184.643922,7.667728,66.638506,77.19,753.484493
AT,Case8,,1,36,37219.621658,6.31269,68.04051,75.03,555.892895
AT,Case8,,2,36,21644.002582,3.670964,69.007131,80.29,453.247446
AT,Case8,,3,36,38021.002126,6.44861,67.99739,74.86,555.892895
AT,Case8,,4,36,37955.992462,6.437584,68.16519,75.06,555.892895
AT,Case8,,5,36,37249.472862,6.317753,68.242058,75.4,555.892895
AT,Case9,,1,44,116510.530964,7.609099,94.858247,112.78,4168.176178
AT,Case9,,2,44,110463.47089,7.214177,95.651741,114.41,4168.176178
AT,Case9,,3,44,112677.31673,7.358759,95.116028,113.72,4168.176178
AT,Case9,,4,44,101525.072186,6.630425,97.025322,120.74,4156.857012
AT,Case9,,5,44,112044.013552,7.317399,95.710647,115.47,4168.176178
AT,acend910,,1,6,32630.466936,13.329439,62.711257,74.4,1975.511483
AT,acend910,,2,6,34491.438936,14.08964,62.74438,74.44,1679.637797
AT,acend910,,3,6,34067.63949,13.916519,62.758918,74.42,1694.997185
AT,acend910,,4,6,34141.402796,13.946651,62.745476,74.44,1630.087661
AT,acend910,,5,6,36426.736288,14.880203,62.701445,74.31,1584.358535
AT,cpu-dram,,1,8,92720.083844,9.054696,88.229966,116.35,1002.890737
AT,cpu-dram,,2,8,93614.959348,9.142086,88.133003,115.05,1039.75505
AT,cpu-dram,,3,8,94161.045798,9.195415,88.148794,114.94,996.673569
AT,cpu-dram,,4,8,87966.692346,8.590497,88.203164,117.0,1012.947284
AT,cpu-dram,,5,8,95058.064864,9.283014,87.929207,114.25,1063.732321
AT,hp11_m,,1,11,126337.86199,10.966828,74.026086,102.73,1783.597746
AT,hp11_m,,2,11,150120.218522,13.031269,72.823599,97.82,1880.122814
AT,hp11_m,,3,11,161288.04117,14.000698,73.604419,99.05,1804.65914
AT,hp11_m,,4,11,128268.949014,11.134457,73.657104,103.03,1774.306916
AT,hp11_m,,5,11,114529.813128,9.941824,73.6871,103.13,1712.026316
AT,multigpu,,1,6,89476.187916,12.94505,79.550303,95.6,2227.131679
AT,multigpu,,2,6,85149.039144,12.319016,79.441848,95.93,2204.699858
AT,multigpu,,3,6,83160.996624,12.031394,79.457778,95.39,2227.131679
