case,seed,n_chiplets,n_connections,total_wirelength_mm,avg_wirelength_mm,avg_temp_C,max_temp_C,bbox_area_mm2,bbox_width_mm,bbox_height_mm,wirelength_time_s,thermal_time_s,error,case_src,srcs,pareto_layer
acend910,65,6,5,23222.581194,9.486349,64.588630,75.140000,1497.641728,39.661600,37.760497,0.076000,10.333000,,acend910,ours_50set.csv;result_old.csv,2
acend910,66,6,5,20518.643314,8.381799,63.053606,75.190000,1646.123201,37.896433,43.437418,0.093000,10.251000,,acend910,ours_50set.csv;result_old.csv,2
acend910,121,6,5,22301.700406,9.110172,63.187424,75.090000,1701.033734,39.188386,43.406578,0.056000,8.128000,,acend910_thermal100_wirelength2,ours_50set.csv;result.csv,2
acend910,69,6,5,18789.602542,7.675491,64.548892,75.520000,1310.812315,32.874004,39.873826,0.110000,10.777000,,acend910,ours_50set.csv;result_old.csv,2
acend910,121,6,5,18997.677480,7.760489,64.968167,75.540000,1284.049533,32.925095,38.999114,0.060000,8.611000,,acend910_thermal10_wirelength2,ours_50set.csv;result.csv,2
acend910,72,6,5,28005.845290,11.440296,62.782578,74.830000,1596.111994,36.472786,43.761724,0.090000,10.565000,,acend910,ours_50set.csv;result_old.csv,2
acend910,121,6,5,20757.031022,8.479179,64.134680,75.430000,1541.940718,37.848978,40.739296,0.063000,8.608000,,acend910_thermal100_wirelength0,result.csv,2
acend910,121,6,5,24377.778048,9.958243,62.952146,74.980000,1505.580502,34.594765,43.520472,0.056000,8.156000,,acend910_thermal0p3_wirelength0p02,ours_50set.csv;result.csv,3
acend910,121,6,5,24403.147906,9.968606,62.912847,74.970000,1511.744712,34.654178,43.623736,0.069000,8.047000,,acend910_thermal0p1_wirelength0p02,ours_50set.csv;result.csv,3
acend910,121,6,5,26250.206654,10.723124,63.779783,74.960000,1567.328220,37.946722,41.303389,0.057000,8.541000,,acend910_thermal0p1_wirelength0,ours_50set.csv;result.csv,3
acend910,121,6,5,24451.651712,9.988420,62.911838,74.970000,1514.214932,34.705735,43.630107,0.057000,8.228000,,acend910_thermal1_wirelength0p02,ours_50set.csv;result.csv,4
acend910,62,6,5,25110.839424,10.257696,63.532810,75.030000,1650.223535,42.853687,38.508321,0.091000,10.126000,,acend910,ours_50set.csv;result_old.csv,5
acend910,73,6,5,26161.638478,10.686944,63.999802,74.970000,1607.661023,40.621924,39.576191,0.092000,10.820000,,acend910,ours_50set.csv;result_old.csv,5
acend910,121,6,5,25919.768926,10.588141,63.805854,74.990000,1563.280166,37.889279,41.259169,0.058000,8.292000,,acend910_thermal0p03_wirelength0,ours_50set.csv;result.csv,5
acend910,121,6,5,24492.445962,10.005084,64.062175,75.130000,1616.084195,40.642168,39.763730,0.056000,8.417000,,acend910_thermal10_wirelength0p02,ours_50set.csv;result.csv,5
cpu-dram,103,8,8,113953.089192,11.128231,87.759016,108.150000,1073.822988,33.198060,32.345956,0.159000,8.974000,,cpu-dram,ours_50set.csv;result.csv,1
cpu-dram,113,8,8,189438.278078,18.499832,87.410542,110.450000,973.386262,34.936209,27.861817,0.163000,9.568000,,cpu-dram,ours_50set.csv;result.csv,1
cpu-dram,62,8,8,116961.519628,11.422023,89.008894,108.850000,1014.595014,31.387108,32.325215,0.262000,11.713000,,cpu-dram,ours_50set.csv;result_old.csv,1
cpu-dram,73,8,8,122959.052392,12.007720,91.949355,114.400000,885.444805,30.964525,28.595459,0.226000,12.723000,,cpu-dram,ours_50set.csv;result_old.csv,1
cpu-dram,121,8,8,87719.082960,8.566317,94.846160,118.210000,872.221876,28.700325,30.390662,0.183000,10.098000,,cpu-dram_thermal0_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,130241.637022,12.718910,93.458289,113.050000,813.966173,27.091664,30.044894,0.191000,9.762000,,cpu-dram_thermal0p01_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,91919.796204,8.976543,93.347705,115.470000,904.263433,30.915784,29.249248,0.173000,9.521000,,cpu-dram_thermal0p01_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,130715.370608,12.765173,93.541389,113.020000,809.604531,27.024728,29.957916,0.188000,9.861000,,cpu-dram_thermal0p03_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,130811.440230,12.774555,93.471748,113.000000,810.692062,27.032321,29.989732,0.165000,9.824000,,cpu-dram_thermal0p1_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,92738.149010,9.056460,97.749136,117.190000,730.658560,26.375044,27.702648,0.168000,10.460000,,cpu-dram_thermal0p1_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,130352.095796,12.729697,93.431499,112.930000,812.170920,27.051692,30.022925,0.163000,10.001000,,cpu-dram_thermal0p3_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,79390.326060,7.752962,95.216101,118.160000,908.669037,29.755933,30.537407,0.168000,9.922000,,cpu-dram_thermal0p3_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,188186.716154,18.377609,83.101929,99.850000,1149.237577,35.527150,32.348150,0.173000,8.379000,,cpu-dram_thermal100_wirelength0,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,131335.639700,12.825746,83.699824,101.240000,1019.129777,35.548831,28.668447,0.163000,8.499000,,cpu-dram_thermal100_wirelength0p02,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,123269.699980,12.038057,85.883999,105.080000,973.409205,34.496279,28.217803,0.161000,8.686000,,cpu-dram_thermal100_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,157646.112136,15.395128,83.292117,100.350000,1152.283178,35.617393,32.351699,0.169000,8.530000,,cpu-dram_thermal10_wirelength0,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,137611.264656,13.438600,82.541277,99.800000,1231.083087,35.145706,35.027980,0.182000,8.418000,,cpu-dram_thermal10_wirelength0p02,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,117957.594396,11.519296,87.993503,106.790000,1026.655581,33.767171,30.403956,0.163000,8.941000,,cpu-dram_thermal10_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,123321.218368,12.043088,90.958843,111.050000,852.942127,26.780636,31.849211,0.161000,9.521000,,cpu-dram_thermal1_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,84450.810924,8.247150,98.720125,122.820000,745.507644,27.029164,27.581602,0.169000,10.579000,,cpu-dram_thermal1_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,160079.339646,15.632748,83.573081,101.040000,1125.736444,35.391924,31.807721,0.159000,8.602000,,cpu-dram_thermal30_wirelength0,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,134120.435370,13.097699,83.487017,101.200000,1088.576966,35.486505,30.675801,0.161000,8.639000,,cpu-dram_thermal30_wirelength0p02,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,119150.762064,11.635817,86.931379,106.070000,1070.815538,34.616572,30.933610,0.182000,8.829000,,cpu-dram_thermal30_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,82243.628008,8.031604,93.273140,116.840000,966.138994,31.616714,30.557856,0.159000,9.426000,,cpu-dram_thermal30_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,127921.390728,12.492323,83.689900,101.020000,1140.815481,35.558474,32.082802,0.170000,8.575000,,cpu-dram_thermal3_wirelength0,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,130474.163534,12.741618,93.367759,112.570000,818.304838,27.203462,30.080908,0.185000,9.825000,,cpu-dram_thermal3_wirelength0p2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,101346.195216,9.897089,93.627427,116.380000,865.175436,30.537793,28.331302,0.161000,9.854000,,cpu-dram_thermal3_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,84086.631656,8.211585,95.900076,120.220000,834.398201,27.793215,30.021651,0.163000,9.904000,,cpu-dram_thermal10_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,88655.289778,8.657743,94.690381,119.880000,853.088615,28.020839,30.444792,0.164000,9.869000,,cpu-dram_thermal0p03_wirelength2,ours_50set.csv;result.csv,1
cpu-dram,121,8,8,136050.542520,13.286186,86.055127,101.670000,1065.583224,32.857787,32.430158,0.177000,8.941000,,cpu-dram_thermal0p3_wirelength0,ours_50set.csv;result.csv,2
cpu-dram,121,8,8,131410.137862,12.833021,86.290413,102.940000,1125.599021,34.111999,32.997158,0.168000,8.744000,,cpu-dram_thermal0p1_wirelength0,ours_50set.csv;result.csv,2
cpu-dram,121,8,8,131483.671740,12.840202,86.594595,103.300000,1118.712072,33.888975,33.011092,0.160000,8.897000,,cpu-dram_thermal0p03_wirelength0,ours_50set.csv;result.csv,2
cpu-dram,121,8,8,131403.384032,12.832362,86.613083,103.320000,1117.226012,33.840202,33.014756,0.159000,8.983000,,cpu-dram_thermal0_wirelength0,ours_50set.csv;result.csv,2
cpu-dram,121,8,8,131560.979076,12.847752,86.682590,103.390000,1116.267412,33.814865,33.011145,0.164000,8.926000,,cpu-dram_thermal0p01_wirelength0,ours_50set.csv;result.csv,2
cpu-dram,121,8,8,140483.008982,13.719044,86.521067,104.660000,1046.474917,34.496742,30.335471,0.168000,8.877000,,cpu-dram_thermal1_wirelength0p02,ours_50set.csv;result.csv,2
cpu-dram,97,8,8,175832.074628,17.171101,86.247629,108.880000,985.978951,28.228380,34.928641,0.158000,9.662000,,cpu-dram,result.csv,2
cpu-dram,121,8,8,124201.680478,12.129070,89.326812,110.900000,1015.767536,32.915046,30.860280,0.176000,9.275000,,cpu-dram_thermal0p3_wirelength0p02,ours_50set.csv;result.csv,2
cpu-dram,70,8,8,129085.672022,12.606023,87.641504,109.700000,1030.767697,34.361978,29.997333,0.188000,12.190000,,cpu-dram,ours_50set.csv;result_old.csv,2
cpu-dram,121,8,8,214474.257090,20.944752,90.834722,111.290000,905.254056,31.397738,28.831824,0.175000,9.640000,,cpu-dram_thermal0_wirelength0p2,result.csv,2
cpu-dram,121,8,8,140918.340804,13.761557,83.757192,101.390000,1140.953381,35.201877,32.411720,0.161000,8.670000,,cpu-dram_thermal1_wirelength0,ours_50set.csv;result.csv,2
cpu-dram,121,8,8,140837.305246,13.753643,83.601807,101.130000,1154.949317,35.354881,32.667323,0.181000,8.629000,,cpu-dram_thermal3_wirelength0p02,ours_50set.csv;result.csv,2
cpu-dram,65,8,8,145296.630994,14.189124,89.005015,113.680000,963.639631,33.948924,28.384983,0.235000,12.127000,,cpu-dram,ours_50set.csv;result_old.csv,2
cpu-dram,68,8,8,157291.030330,15.360452,88.430437,113.560000,968.503382,33.993022,28.491241,0.241000,11.829000,,cpu-dram,ours_50set.csv;result_old.csv,2
cpu-dram,121,8,8,101412.422972,9.903557,93.342881,117.010000,873.292456,30.572957,28.564213,0.164000,9.781000,,cpu-dram_thermal100_wirelength2,ours_50set.csv;result.csv,2
cpu-dram,121,8,8,220998.622648,21.581897,95.233171,120.470000,841.836037,28.947793,29.081182,0.171000,10.080000,,cpu-dram_thermal0p03_wirelength50,result.csv,2
