case,candidate,seed,thermal_weight,wirelength_weight,legalization_status,is_legal,legal_report,source,eval_input,eval_stem
Case10,1,121,0,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0_wirelength0_seed121.json,Case10_thermal0_wirelength0_seed121
Case10,2,121,0,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0_wirelength0p02_seed121.json,Case10_thermal0_wirelength0p02_seed121
Case10,3,121,0,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0_wirelength0p2_seed121.json,Case10_thermal0_wirelength0p2_seed121
Case10,5,121,0,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0_wirelength50_seed121.json,Case10_thermal0_wirelength50_seed121
Case10,6,121,0.01,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p01_wirelength0_seed121.json,Case10_thermal0p01_wirelength0_seed121
Case10,7,121,0.01,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p01_wirelength0p02_seed121.json,Case10_thermal0p01_wirelength0p02_seed121
Case10,8,121,0.01,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p01_wirelength0p2_seed121.json,Case10_thermal0p01_wirelength0p2_seed121
Case10,10,121,0.01,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p01-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p01_wirelength50_seed121.json,Case10_thermal0p01_wirelength50_seed121
Case10,12,121,0.03,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p03_wirelength0p02_seed121.json,Case10_thermal0p03_wirelength0p02_seed121
Case10,11,121,0.03,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p03_wirelength0_seed121.json,Case10_thermal0p03_wirelength0_seed121
Case10,13,121,0.03,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p03_wirelength0p2_seed121.json,Case10_thermal0p03_wirelength0p2_seed121
Case10,15,121,0.03,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p03-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p03_wirelength50_seed121.json,Case10_thermal0p03_wirelength50_seed121
Case10,16,121,0.1,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p1-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p1-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p1_wirelength0_seed121.json,Case10_thermal0p1_wirelength0_seed121
Case10,18,121,0.1,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p1-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p1-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p1_wirelength0p2_seed121.json,Case10_thermal0p1_wirelength0p2_seed121
Case10,17,121,0.1,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p1-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p1-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p1_wirelength0p02_seed121.json,Case10_thermal0p1_wirelength0p02_seed121
Case10,20,121,0.1,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p1-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p1-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p1_wirelength50_seed121.json,Case10_thermal0p1_wirelength50_seed121
Case10,21,121,0.3,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p3-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p3-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p3_wirelength0_seed121.json,Case10_thermal0p3_wirelength0_seed121
Case10,22,121,0.3,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p3-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p3-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p3_wirelength0p02_seed121.json,Case10_thermal0p3_wirelength0p02_seed121
Case10,23,121,0.3,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p3-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p3-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p3_wirelength0p2_seed121.json,Case10_thermal0p3_wirelength0p2_seed121
Case10,26,121,1,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t1-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t1-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal1_wirelength0_seed121.json,Case10_thermal1_wirelength0_seed121
Case10,25,121,0.3,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p3-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t0p3-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal0p3_wirelength50_seed121.json,Case10_thermal0p3_wirelength50_seed121
Case10,27,121,1,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t1-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t1-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal1_wirelength0p02_seed121.json,Case10_thermal1_wirelength0p02_seed121
Case10,28,121,1,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t1-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t1-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal1_wirelength0p2_seed121.json,Case10_thermal1_wirelength0p2_seed121
Case10,30,121,1,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t1-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t1-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal1_wirelength50_seed121.json,Case10_thermal1_wirelength50_seed121
Case10,31,121,3,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t3-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t3-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal3_wirelength0_seed121.json,Case10_thermal3_wirelength0_seed121
Case10,32,121,3,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t3-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t3-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal3_wirelength0p02_seed121.json,Case10_thermal3_wirelength0p02_seed121
Case10,33,121,3,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t3-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t3-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal3_wirelength0p2_seed121.json,Case10_thermal3_wirelength0p2_seed121
Case10,35,121,3,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t3-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t3-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal3_wirelength50_seed121.json,Case10_thermal3_wirelength50_seed121
Case10,36,121,10,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t10-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t10-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal10_wirelength0_seed121.json,Case10_thermal10_wirelength0_seed121
Case10,37,121,10,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t10-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t10-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal10_wirelength0p02_seed121.json,Case10_thermal10_wirelength0p02_seed121
Case10,38,121,10,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t10-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t10-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal10_wirelength0p2_seed121.json,Case10_thermal10_wirelength0p2_seed121
Case10,39,121,10,2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t10-w2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t10-w2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal10_wirelength2_seed121.json,Case10_thermal10_wirelength2_seed121
Case10,41,121,30,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal30_wirelength0_seed121.json,Case10_thermal30_wirelength0_seed121
Case10,42,121,30,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal30_wirelength0p02_seed121.json,Case10_thermal30_wirelength0p02_seed121
Case10,43,121,30,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal30_wirelength0p2_seed121.json,Case10_thermal30_wirelength0p2_seed121
Case10,44,121,30,2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal30_wirelength2_seed121.json,Case10_thermal30_wirelength2_seed121
Case10,45,121,30,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t30-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal30_wirelength50_seed121.json,Case10_thermal30_wirelength50_seed121
Case10,46,121,100,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w0/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w0/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal100_wirelength0_seed121.json,Case10_thermal100_wirelength0_seed121
Case10,48,121,100,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w0p2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w0p2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal100_wirelength0p2_seed121.json,Case10_thermal100_wirelength0p2_seed121
Case10,47,121,100,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w0p02/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w0p02/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal100_wirelength0p02_seed121.json,Case10_thermal100_wirelength0p02_seed121
Case10,49,121,100,2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w2/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w2/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal100_wirelength2_seed121.json,Case10_thermal100_wirelength2_seed121
Case10,50,121,100,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w50/seed_121/legalized/00_Case10_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case10-t100-w50/seed_121/legalized/00_Case10_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case10_thermal100_wirelength50_seed121.json,Case10_thermal100_wirelength50_seed121
Case6,1,121,0,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w0/seed_121/legalized/01_Case6_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w0/seed_121/legalized/01_Case6_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case6_thermal0_wirelength0_seed121.json,Case6_thermal0_wirelength0_seed121
Case6,2,121,0,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w0p02/seed_121/legalized/01_Case6_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w0p02/seed_121/legalized/01_Case6_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case6_thermal0_wirelength0p02_seed121.json,Case6_thermal0_wirelength0p02_seed121
Case6,3,121,0,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w0p2/seed_121/legalized/01_Case6_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w0p2/seed_121/legalized/01_Case6_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case6_thermal0_wirelength0p2_seed121.json,Case6_thermal0_wirelength0p2_seed121
Case6,4,121,0,2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w2/seed_121/legalized/01_Case6_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w2/seed_121/legalized/01_Case6_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case6_thermal0_wirelength2_seed121.json,Case6_thermal0_wirelength2_seed121
Case6,5,121,0,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w50/seed_121/legalized/01_Case6_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0-w50/seed_121/legalized/01_Case6_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case6_thermal0_wirelength50_seed121.json,Case6_thermal0_wirelength50_seed121
Case6,6,121,0.01,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0p01-w0/seed_121/legalized/01_Case6_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-Case6-t0p01-w0/seed_121/legalized/01_Case6_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/Case6_thermal0p01_wirelength0_seed121.json,Case6_thermal0p01_wirelength0_seed121
