case,candidate,seed,thermal_weight,wirelength_weight,legalization_status,is_legal,legal_report,source,eval_input,eval_stem
syn4,26,121,1,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t1-w0/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t1-w0/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal1_wirelength0_seed121.json,syn4_thermal1_wirelength0_seed121
syn4,27,121,1,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t1-w0p02/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t1-w0p02/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal1_wirelength0p02_seed121.json,syn4_thermal1_wirelength0p02_seed121
syn4,28,121,1,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t1-w0p2/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t1-w0p2/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal1_wirelength0p2_seed121.json,syn4_thermal1_wirelength0p2_seed121
syn4,31,121,3,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t3-w0/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t3-w0/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal3_wirelength0_seed121.json,syn4_thermal3_wirelength0_seed121
syn4,30,121,1,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t1-w50/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t1-w50/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal1_wirelength50_seed121.json,syn4_thermal1_wirelength50_seed121
syn4,32,121,3,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t3-w0p02/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t3-w0p02/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal3_wirelength0p02_seed121.json,syn4_thermal3_wirelength0p02_seed121
syn4,33,121,3,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t3-w0p2/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t3-w0p2/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal3_wirelength0p2_seed121.json,syn4_thermal3_wirelength0p2_seed121
syn4,36,121,10,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t10-w0/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t10-w0/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal10_wirelength0_seed121.json,syn4_thermal10_wirelength0_seed121
syn4,37,121,10,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t10-w0p02/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t10-w0p02/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal10_wirelength0p02_seed121.json,syn4_thermal10_wirelength0p02_seed121
syn4,38,121,10,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t10-w0p2/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t10-w0p2/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal10_wirelength0p2_seed121.json,syn4_thermal10_wirelength0p2_seed121
syn4,40,121,10,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t10-w50/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t10-w50/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal10_wirelength50_seed121.json,syn4_thermal10_wirelength50_seed121
syn4,41,121,30,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t30-w0/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t30-w0/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal30_wirelength0_seed121.json,syn4_thermal30_wirelength0_seed121
syn4,43,121,30,0.2,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t30-w0p2/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t30-w0p2/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal30_wirelength0p2_seed121.json,syn4_thermal30_wirelength0p2_seed121
syn4,42,121,30,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t30-w0p02/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t30-w0p02/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal30_wirelength0p02_seed121.json,syn4_thermal30_wirelength0p02_seed121
syn4,45,121,30,50,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t30-w50/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t30-w50/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal30_wirelength50_seed121.json,syn4_thermal30_wirelength50_seed121
syn4,46,121,100,0,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t100-w0/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t100-w0/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal100_wirelength0_seed121.json,syn4_thermal100_wirelength0_seed121
syn4,47,121,100,0.02,ok,true,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t100-w0p02/seed_121/legalized/10_syn4_placement_legal_report.json,/mnt/d/WORK/96/flow_tap/LayoutGenModel/logs/output/cases_hubump/cases-hubump-pareto-syn4-t100-w0p02/seed_121/legalized/10_syn4_placement_legal.json,/mnt/d/WORK/96/flow_tap/resultEval/FM_result/pareto_weight_sweep_seed121_legal_only_format/syn4_thermal100_wirelength0p02_seed121.json,syn4_thermal100_wirelength0p02_seed121
